Average Inelastic Displacement Ratios (IDRs) for Elastic Perfectly Plastic Hysteretic Model
Ground Motion Records were Recorded on Firm Soils for Far-fault Records.
µ = 1.5				µ = 2.0				µ = 3.0				µ = 4.0				µ = 5.0							
Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR					
0.10	0.26350	1.25885		0.10	0.35092	1.41958		0.10	0.39149	1.67382		0.10	0.48258	1.85445		0.10	0.51474	2.12716					
0.20	0.23541	1.24579		0.20	0.29289	1.36553		0.20	0.44706	1.57721		0.20	0.52253	1.73124		0.20	0.52354	1.94975					
0.30	0.24039	1.23266		0.30	0.30028	1.31896		0.30	0.42978	1.49365		0.30	0.42824	1.62391		0.30	0.57719	1.79874					
0.40	0.21050	1.21966		0.40	0.25931	1.27911		0.40	0.33036	1.42193		0.40	0.34291	1.53112		0.40	0.45178	1.67143					
0.50	0.19568	1.20699		0.50	0.27312	1.24525		0.50	0.30400	1.36088		0.50	0.39346	1.45163		0.50	0.45563	1.56528					
0.60	0.20906	1.19480		0.60	0.26358	1.21671		0.60	0.35108	1.30937		0.60	0.43286	1.38421		0.60	0.52264	1.47786					
0.70	0.19171	1.18323		0.70	0.26817	1.19286		0.70	0.31064	1.26638		0.70	0.37238	1.32771		0.70	0.51662	1.40692					
0.80	0.22201	1.17241		0.80	0.24501	1.17310		0.80	0.29647	1.23091		0.80	0.38047	1.28100		0.80	0.44224	1.35031					
0.90	0.22923	1.16244		0.90	0.25592	1.15688		0.90	0.30063	1.20204		0.90	0.38749	1.24303		0.90	0.50543	1.30606					
1.00	0.22476	1.15340		1.00	0.24860	1.14370		1.00	0.31300	1.17890		1.00	0.36819	1.21280		1.00	0.42571	1.27230					
1.10	0.22604	1.14534		1.10	0.29184	1.13309		1.10	0.30552	1.16070		1.10	0.38314	1.18934		1.10	0.43941	1.24733					
1.20	0.19760	1.13829		1.20	0.23526	1.12463		1.20	0.32040	1.14669		1.20	0.39817	1.17176		1.20	0.47423	1.22958					
1.30	0.21481	1.13228		1.30	0.27960	1.11794		1.30	0.32933	1.13621		1.30	0.37774	1.15919		1.30	0.41700	1.21761					
1.40	0.24600	1.12729		1.40	0.25479	1.11268		1.40	0.28862	1.12862		1.40	0.34308	1.15084		1.40	0.34903	1.21015					
1.50	0.17933	1.12329		1.50	0.25381	1.10855		1.50	0.29669	1.12338		1.50	0.34591	1.14596		1.50	0.34489	1.20603					
1.60	0.18453	1.12023		1.60	0.24192	1.10530		1.60	0.30367	1.11998		1.60	0.32304	1.14384		1.60	0.36908	1.20424					
1.70	0.18855	1.11803		1.70	0.25191	1.10272		1.70	0.28742	1.11801		1.70	0.31829	1.14385		1.70	0.38709	1.20393					
1.80	0.18539	1.11661		1.80	0.24902	1.10064		1.80	0.26753	1.11708		1.80	0.35745	1.14538		1.80	0.35635	1.20435					
1.90	0.19450	1.11585		1.90	0.23759	1.09893		1.90	0.28830	1.11690		1.90	0.31974	1.14789		1.90	0.37307	1.20493					
2.00	0.19211	1.11560		2.00	0.26349	1.09750		2.00	0.30967	1.11720		2.00	0.32102	1.15090		2.00	0.41898	1.20520					
2.10	0.20281	1.11571		2.10	0.24699	1.09632		2.10	0.29775	1.11781		2.10	0.30744	1.15396		2.10	0.34168	1.20487					
2.20	0.18478	1.11600		2.20	0.24856	1.09538		2.20	0.26566	1.11859		2.20	0.28846	1.15667		2.20	0.35078	1.20376					
2.30	0.18498	1.11626		2.30	0.23927	1.09473		2.30	0.27375	1.11949		2.30	0.30028	1.15872		2.30	0.36256	1.20184					
2.40	0.17195	1.11627		2.40	0.21716	1.09444		2.40	0.27582	1.12050		2.40	0.35837	1.15980		2.40	0.40089	1.19923					
2.50	0.20322	1.11579		2.50	0.21102	1.09465		2.50	0.30698	1.12168		2.50	0.37410	1.15968		2.50	0.37061	1.19618					
2.60	0.18897	1.11454		2.60	0.22683	1.09552		2.60	0.30877	1.12315		2.60	0.32437	1.15819		2.60	0.37027	1.19307					
2.70	0.19771	1.11224		2.70	0.23081	1.09727		2.70	0.27839	1.12509		2.70	0.29369	1.15519		2.70	0.31102	1.19045					
2.80	0.20294	1.10857		2.80	0.22669	1.10015		2.80	0.27030	1.12775		2.80	0.30994	1.15060		2.80	0.31168	1.18898					
2.90	0.17666	1.10321		2.90	0.25735	1.10444		2.90	0.27287	1.13143		2.90	0.31242	1.14440		2.90	0.40974	1.18948					
3.00	0.18594	1.09580		3.00	0.22922	1.11050		3.00	0.28847	1.13650		3.00	0.37066	1.13660		3.00	0.41726	1.19290	

(C) Hazim Dwairi, Ahmad Tarawneh, and Eman Saleh (2022)
