Average Inelastic Displacement Ratios (IDRs) for Large-Takeda Hysteretic Model
Ground Motion Records were Recorded on Firm Soils for Far-fault Records.
µ = 1.5				µ = 2.0				µ = 3.0				µ = 4.0				µ = 5.0							
Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR					
0.10	0.26178	1.26525		0.10	0.30658	1.45443		0.10	0.40167	1.67003		0.10	0.36662	1.95134		0.10	0.32564	2.17999					
0.20	0.19525	1.25111		0.20	0.26272	1.39158		0.20	0.42834	1.56977		0.20	0.54595	1.78674		0.20	0.49841	1.95426					
0.30	0.18425	1.23667		0.30	0.27175	1.33747		0.30	0.36290	1.48167		0.30	0.40090	1.64557		0.30	0.43380	1.76472					
0.40	0.17991	1.22210		0.40	0.24420	1.29119		0.40	0.35792	1.40472		0.40	0.46764	1.52555		0.40	0.46367	1.60741					
0.50	0.18484	1.20755		0.50	0.23038	1.25186		0.50	0.29671	1.33796		0.50	0.43603	1.42449		0.50	0.46551	1.47856					
0.60	0.18850	1.19318		0.60	0.27367	1.21868		0.60	0.31980	1.28046		0.60	0.39429	1.34033		0.60	0.48450	1.37467					
0.70	0.19960	1.17912		0.70	0.21596	1.19089		0.70	0.29345	1.23134		0.70	0.35022	1.27113		0.70	0.41563	1.29244					
0.80	0.15804	1.16549		0.80	0.20399	1.16777		0.80	0.26873	1.18978		0.80	0.36304	1.21508		0.80	0.47240	1.22878					
0.90	0.17715	1.15242		0.90	0.22719	1.14867		0.90	0.30359	1.15498		0.90	0.42028	1.17046		0.90	0.39026	1.18084					
1.00	0.19026	1.14000		1.00	0.23211	1.13300		1.00	0.34068	1.12620		1.00	0.43029	1.13570		1.00	0.46772	1.14600					
1.10	0.18946	1.12833		1.10	0.24360	1.12020		1.10	0.35905	1.10273		1.10	0.37455	1.10933		1.10	0.55377	1.12184					
1.20	0.18635	1.11748		1.20	0.25676	1.10977		1.20	0.32327	1.08393		1.20	0.38869	1.09001		1.20	0.39873	1.10617					
1.30	0.19470	1.10754		1.30	0.23725	1.10128		1.30	0.29472	1.06916		1.30	0.32097	1.07651		1.30	0.38040	1.09704					
1.40	0.19371	1.09855		1.40	0.23237	1.09433		1.40	0.25339	1.05787		1.40	0.29351	1.06772		1.40	0.35300	1.09270					
1.50	0.17722	1.09058		1.50	0.20580	1.08859		1.50	0.28695	1.04953		1.50	0.23435	1.06266		1.50	0.35976	1.09164					
1.60	0.18146	1.08364		1.60	0.21998	1.08376		1.60	0.31396	1.04365		1.60	0.32490	1.06046		1.60	0.28968	1.09255					
1.70	0.16599	1.07778		1.70	0.22742	1.07962		1.70	0.28834	1.03981		1.70	0.32262	1.06036		1.70	0.24620	1.09437					
1.80	0.16295	1.07300		1.80	0.23074	1.07599		1.80	0.28874	1.03759		1.80	0.37214	1.06174		1.80	0.28945	1.09625					
1.90	0.17805	1.06931		1.90	0.21973	1.07274		1.90	0.31073	1.03666		1.90	0.35588	1.06408		1.90	0.38172	1.09756					
2.00	0.17270	1.06670		2.00	0.22643	1.06980		2.00	0.29828	1.03670		2.00	0.35501	1.06700		2.00	0.37603	1.09790					
2.10	0.19201	1.06516		2.10	0.23403	1.06714		2.10	0.28087	1.03746		2.10	0.30781	1.07021		2.10	0.40162	1.09708					
2.20	0.16404	1.06465		2.20	0.23509	1.06481		2.20	0.24970	1.03871		2.20	0.28875	1.07357		2.20	0.44963	1.09515					
2.30	0.15784	1.06514		2.30	0.23630	1.06287		2.30	0.29947	1.04028		2.30	0.30347	1.07703		2.30	0.39270	1.09236					
2.40	0.17240	1.06658		2.40	0.21662	1.06148		2.40	0.30469	1.04204		2.40	0.34287	1.08069		2.40	0.41397	1.08921					
2.50	0.18448	1.06890		2.50	0.23355	1.06081		2.50	0.30835	1.04391		2.50	0.32344	1.08474		2.50	0.38143	1.08641					
2.60	0.16661	1.07203		2.60	0.23126	1.06112		2.60	0.31869	1.04583		2.60	0.32682	1.08950		2.60	0.41785	1.08489					
2.70	0.18084	1.07588		2.70	0.21026	1.06270		2.70	0.32773	1.04781		2.70	0.44541	1.09542		2.70	0.55094	1.08580					
2.80	0.16776	1.08037		2.80	0.22867	1.06590		2.80	0.32074	1.04990		2.80	0.49295	1.10305		2.80	0.53045	1.09051					
2.90	0.16959	1.08538		2.90	0.24846	1.07111		2.90	0.28518	1.05219		2.90	0.58158	1.11308		2.90	0.49637	1.10064					
3.00	0.15923	1.09080		3.00	0.21859	1.07880		3.00	0.36603	1.05480		3.00	0.53581	1.12630		3.00	0.36873	1.11800					

(C) Hazim Dwairi, Ahmad Tarawneh, and Eman Saleh (2022)
