Average Inelastic Displacement Ratios (IDRs) for Thin-Takeda Hysteretic Model
Ground Motion Records were Recorded on Firm Soils for Far-fault Records.
µ = 1.5				µ = 2.0				µ = 3.0				µ = 4.0				µ = 5.0							
Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR					
0.10	0.23952	1.45755		0.10	0.23667	1.59966		0.10	0.29763	1.74729		0.10	0.47322	1.86293		0.10	0.38555	2.04370					
0.20	0.19793	1.40187		0.20	0.29587	1.48458		0.20	0.40704	1.63401		0.20	0.52262	1.72648		0.20	0.64865	1.83298					
0.30	0.18870	1.35343		0.30	0.26840	1.39666		0.30	0.36318	1.53546		0.30	0.42987	1.60700		0.30	0.58267	1.65948					
0.40	0.19342	1.31114		0.40	0.27459	1.33018		0.40	0.39187	1.45016		0.40	0.40341	1.50327		0.40	0.37320	1.51850					
0.50	0.19118	1.27409		0.50	0.26251	1.28026		0.50	0.33944	1.37676		0.50	0.43459	1.41411		0.50	0.46320	1.40572					
0.60	0.20059	1.24151		0.60	0.24532	1.24283		0.60	0.35176	1.31400		0.60	0.37325	1.33836		0.60	0.39983	1.31714					
0.70	0.18908	1.21275		0.70	0.24945	1.21452		0.70	0.29986	1.26074		0.70	0.32669	1.27487		0.70	0.31409	1.24912					
0.80	0.18974	1.18729		0.80	0.22047	1.19262		0.80	0.30141	1.21593		0.80	0.38150	1.22254		0.80	0.40847	1.19833					
0.90	0.16383	1.16471		0.90	0.23158	1.17501		0.90	0.32086	1.17861		0.90	0.38483	1.18030		0.90	0.39162	1.16176					
1.00	0.17181	1.14470		1.00	0.25269	1.16010		1.00	0.33758	1.14790		1.00	0.37577	1.14710		1.00	0.43765	1.13670					
1.10	0.20537	1.12700		1.10	0.27641	1.14679		1.10	0.31372	1.12301		1.10	0.53324	1.12191		1.10	0.46349	1.12074					
1.20	0.18833	1.11145		1.20	0.26661	1.13436		1.20	0.31072	1.10323		1.20	0.43208	1.10373		1.20	0.40308	1.11174					
1.30	0.20953	1.09791		1.30	0.26158	1.12247		1.30	0.30194	1.08788		1.30	0.34312	1.09161		1.30	0.44203	1.10784					
1.40	0.19296	1.08631		1.40	0.26458	1.11103		1.40	0.29633	1.07638		1.40	0.35294	1.08460		1.40	0.34087	1.10744					
1.50	0.17757	1.07659		1.50	0.25314	1.10020		1.50	0.29314	1.06819		1.50	0.36243	1.08179		1.50	0.39432	1.10917					
1.60	0.18936	1.06872		1.60	0.25063	1.09027		1.60	0.30761	1.06282		1.60	0.32748	1.08229		1.60	0.48133	1.11191					
1.70	0.17197	1.06265		1.70	0.22277	1.08166		1.70	0.30271	1.05983		1.70	0.41569	1.08526		1.70	0.46751	1.11478					
1.80	0.15181	1.05835		1.80	0.22110	1.07480		1.80	0.32086	1.05879		1.80	0.41420	1.08986		1.80	0.39802	1.11708					
1.90	0.18317	1.05573		1.90	0.24222	1.07011		1.90	0.34701	1.05933		1.90	0.35844	1.09530		1.90	0.32678	1.11835					
2.00	0.17942	1.05470		2.00	0.25731	1.06790		2.00	0.33797	1.06110		2.00	0.33724	1.10080		2.00	0.28152	1.11830					
2.10	0.18385	1.05509		2.10	0.23685	1.06835		2.10	0.30585	1.06376		2.10	0.31690	1.10562		2.10	0.26870	1.11683					
2.20	0.19385	1.05669		2.20	0.21944	1.07143		2.20	0.33082	1.06699		2.20	0.33781	1.10904		2.20	0.30390	1.11400					
2.30	0.16392	1.05919		2.30	0.23707	1.07680		2.30	0.30191	1.07047		2.30	0.41367	1.11037		2.30	0.38546	1.11005					
2.40	0.17651	1.06222		2.40	0.23612	1.08382		2.40	0.31591	1.07389		2.40	0.35965	1.10896		2.40	0.38905	1.10535					
2.50	0.18144	1.06529		2.50	0.24425	1.09144		2.50	0.34173	1.07693		2.50	0.34361	1.10416		2.50	0.43757	1.10042					
2.60	0.17316	1.06780		2.60	0.25403	1.09813		2.60	0.29098	1.07926		2.60	0.39837	1.09538		2.60	0.39074	1.09589					
2.70	0.17340	1.06902		2.70	0.25749	1.10186		2.70	0.28078	1.08052		2.70	0.42893	1.08204		2.70	0.37939	1.09253					
2.80	0.16128	1.06809		2.80	0.21410	1.10000		2.80	0.36155	1.08036		2.80	0.52202	1.06359		2.80	0.25644	1.09120					
2.90	0.16750	1.06398		2.90	0.24798	1.08928		2.90	0.22229	1.07836		2.90	0.64888	1.03951		2.90	0.34405	1.09284					
3.00	0.16018	1.05550		3.00	0.25269	1.06570		3.00	0.25692	1.07410		3.00	0.63468	1.00930		3.00	0.41246	1.09850					
																							
(C) Hazim Dwairi, Ahmad Tarawneh, and Eman Saleh (2022)
