Average Inelastic Displacement Ratios (IDRs) for Elastic Perfectly Plastic Hysteretic Model
Ground Motion Records were Recorded on Firm Soils for Near-fault Records.
µ = 1.5				µ = 2.0				µ = 3.0				µ = 4.0				µ = 5.0							
Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR					
0.10	0.21861	1.26653		0.10	0.28198	1.58280		0.10	0.29935	1.90264		0.10	0.32785	2.36370		0.10	0.38699	2.78531					
0.20	0.17467	1.25161		0.20	0.25491	1.50413		0.20	0.36321	1.78137		0.20	0.43769	2.14737		0.20	0.34543	2.48164					
0.30	0.14732	1.23605		0.30	0.22653	1.43409		0.30	0.32292	1.67470		0.30	0.60654	1.96169		0.30	0.59086	2.22307					
0.40	0.16147	1.22022		0.40	0.25613	1.37217		0.40	0.36413	1.58141		0.40	0.43404	1.80371		0.40	0.54870	2.00510					
0.50	0.15721	1.20448		0.50	0.24541	1.31786		0.50	0.28629	1.50035		0.50	0.37891	1.67062		0.50	0.54111	1.82344					
0.60	0.15050	1.18911		0.60	0.20285	1.27067		0.60	0.30120	1.43039		0.60	0.35133	1.55973		0.60	0.48781	1.67407					
0.70	0.15620	1.17438		0.70	0.26309	1.23008		0.70	0.28927	1.37046		0.70	0.44412	1.46853		0.70	0.55249	1.55315					
0.80	0.19755	1.16052		0.80	0.27262	1.19562		0.80	0.40240	1.31956		0.80	0.42701	1.39462		0.80	0.54570	1.45711					
0.90	0.18839	1.14771		0.90	0.26599	1.16679		0.90	0.34585	1.27671		0.90	0.49074	1.33578		0.90	0.57641	1.38257					
1.00	0.18864	1.13610		1.00	0.28224	1.14310		1.00	0.35588	1.24100		1.00	0.41993	1.28990		1.00	0.51706	1.32640					
1.10	0.17858	1.12580		1.10	0.26397	1.12407		1.10	0.38430	1.21157		1.10	0.41400	1.25503		1.10	0.49396	1.28570					
1.20	0.14545	1.11688		1.20	0.26349	1.10922		1.20	0.39732	1.18761		1.20	0.38259	1.22938		1.20	0.35682	1.25778					
1.30	0.15341	1.10937		1.30	0.27741	1.09806		1.30	0.26340	1.16835		1.30	0.43135	1.21126		1.30	0.40154	1.24020					
1.40	0.18642	1.10327		1.40	0.24057	1.09013		1.40	0.29586	1.15308		1.40	0.37188	1.19918		1.40	0.42462	1.23073					
1.50	0.16046	1.09853		1.50	0.22732	1.08496		1.50	0.31947	1.14115		1.50	0.31894	1.19174		1.50	0.39683	1.22737					
1.60	0.20118	1.09506		1.60	0.25426	1.08208		1.60	0.27913	1.13195		1.60	0.35684	1.18774		1.60	0.36604	1.22836					
1.70	0.16133	1.09276		1.70	0.23422	1.08102		1.70	0.28839	1.12491		1.70	0.36223	1.18607		1.70	0.38144	1.23216					
1.80	0.15617	1.09145		1.80	0.20512	1.08132		1.80	0.26281	1.11954		1.80	0.36680	1.18579		1.80	0.29408	1.23745					
1.90	0.18930	1.09094		1.90	0.22903	1.08254		1.90	0.27369	1.11537		1.90	0.34601	1.18612		1.90	0.30394	1.24315					
2.00	0.18391	1.09100		2.00	0.20401	1.08420		2.00	0.29021	1.11200		2.00	0.27756	1.18640		2.00	0.43610	1.24840					
2.10	0.16119	1.09135		2.10	0.16858	1.08587		2.10	0.27862	1.10908		2.10	0.33027	1.18612		2.10	0.39743	1.25258					
2.20	0.15415	1.09167		2.20	0.16593	1.08709		2.20	0.26794	1.10630		2.20	0.33658	1.18491		2.20	0.53309	1.25527					
2.30	0.12828	1.09161		2.30	0.21945	1.08742		2.30	0.31375	1.10341		2.30	0.34896	1.18256		2.30	0.50133	1.25632					
2.40	0.15428	1.09079		2.40	0.22362	1.08642		2.40	0.30384	1.10021		2.40	0.60784	1.17899		2.40	0.29350	1.25576					
2.50	0.16902	1.08878		2.50	0.22580	1.08366		2.50	0.33292	1.09655		2.50	0.51049	1.17427		2.50	0.45056	1.25389					
2.60	0.17375	1.08510		2.60	0.23780	1.07870		2.60	0.33853	1.09233		2.60	0.42958	1.16861		2.60	0.41977	1.25122					
2.70	0.14956	1.07926		2.70	0.23168	1.07111		2.70	0.37946	1.08749		2.70	0.41465	1.16237		2.70	0.38630	1.24847					
2.80	0.16214	1.07070		2.80	0.22042	1.06046		2.80	0.26459	1.08205		2.80	0.42851	1.15605		2.80	0.45962	1.24662					
2.90	0.15077	1.05886		2.90	0.19432	1.04633		2.90	0.30588	1.07605		2.90	0.35565	1.15030		2.90	0.31892	1.24685					
3.00	0.14689	1.04310		3.00	0.18158	1.02830		3.00	0.27767	1.06960		3.00	0.30655	1.14590		3.00	0.25654	1.25060					

(C) Hazim Dwairi, Ahmad Tarawneh, and Eman Saleh (2022)
