Average Inelastic Displacement Ratios (IDRs) for Large-Takeda Hysteretic Model
Ground Motion Records were Recorded on Firm Soils for Near-fault Records.
µ = 1.5				µ = 2.0				µ = 3.0				µ = 4.0				µ = 5.0							
Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR					
0.10	0.21911	1.33706		0.10	0.21906	1.64705		0.10	0.43875	1.98276		0.10	0.46249	2.34860		0.10	0.24138	3.05159					
0.20	0.18347	1.30613		0.20	0.24039	1.55489		0.20	0.27775	1.82808		0.20	0.46249	2.12665		0.20	0.24138	2.67821					
0.30	0.14056	1.27908		0.30	0.25425	1.47657		0.30	0.35634	1.69817		0.30	0.50001	1.93911		0.30	0.15276	2.36370					
0.40	0.14913	1.25551		0.40	0.23173	1.41052		0.40	0.36784	1.59008		0.40	0.35313	1.78215		0.40	0.37025	2.10169					
0.50	0.15089	1.23503		0.50	0.23780	1.35526		0.50	0.36102	1.50109		0.50	0.34691	1.65218		0.50	0.32597	1.88613					
0.60	0.12961	1.21728		0.60	0.18228	1.30940		0.60	0.27254	1.42863		0.60	0.32949	1.54579		0.60	0.49817	1.71135					
0.70	0.12668	1.20191		0.70	0.25156	1.27166		0.70	0.36321	1.37030		0.70	0.51176	1.45984		0.70	0.61688	1.57201					
0.80	0.16966	1.18862		0.80	0.29749	1.24085		0.80	0.41525	1.32391		0.80	0.55306	1.39138		0.80	0.57772	1.46313					
0.90	0.15695	1.17710		0.90	0.26883	1.21587		0.90	0.35881	1.28743		0.90	0.38845	1.33766		0.90	0.57021	1.38008					
1.00	0.15674	1.16710		1.00	0.25842	1.19570		1.00	0.32764	1.25900		1.00	0.48938	1.29620		1.00	0.53856	1.31860					
1.10	0.15076	1.15836		1.10	0.22595	1.17944		1.10	0.38942	1.23696		1.10	0.37319	1.26470		1.10	0.40026	1.27475					
1.20	0.14674	1.15067		1.20	0.23058	1.16626		1.20	0.37687	1.21982		1.20	0.37539	1.24109		1.20	0.44428	1.24497					
1.30	0.14481	1.14382		1.30	0.23243	1.15545		1.30	0.35516	1.20627		1.30	0.32577	1.22352		1.30	0.40671	1.22604					
1.40	0.14395	1.13764		1.40	0.23743	1.14637		1.40	0.32102	1.19518		1.40	0.37240	1.21036		1.40	0.27928	1.21509					
1.50	0.14911	1.13198		1.50	0.20268	1.13848		1.50	0.32956	1.18559		1.50	0.40187	1.20020		1.50	0.29818	1.20961					
1.60	0.12958	1.12671		1.60	0.20832	1.13134		1.60	0.33945	1.17674		1.60	0.31923	1.19185		1.60	0.34698	1.20742					
1.70	0.12228	1.12171		1.70	0.18606	1.12460		1.70	0.23746	1.16803		1.70	0.35569	1.18434		1.70	0.17949	1.20674					
1.80	0.14643	1.11691		1.80	0.18038	1.11801		1.80	0.26151	1.15905		1.80	0.35319	1.17691		1.80	0.18477	1.20608					
1.90	0.15235	1.11226		1.90	0.19750	1.11140		1.90	0.25599	1.14955		1.90	0.23602	1.16904		1.90	0.43933	1.20435					
2.00	0.15733	1.10770		2.00	0.19193	1.10470		2.00	0.27612	1.13950		2.00	0.23755	1.16040		2.00	0.45864	1.20080					
2.10	0.15005	1.10323		2.10	0.18334	1.09794		2.10	0.27076	1.12901		2.10	0.34495	1.15090		2.10	0.51288	1.19502					
2.20	0.13421	1.09887		2.20	0.18151	1.09124		2.20	0.32377	1.11838		2.20	0.37798	1.14067		2.20	0.37163	1.18696					
2.30	0.11757	1.09464		2.30	0.19468	1.08482		2.30	0.35099	1.10809		2.30	0.37556	1.13006		2.30	0.17220	1.17692					
2.40	0.14170	1.09060		2.40	0.21172	1.07897		2.40	0.40257	1.09882		2.40	0.39759	1.11961		2.40	0.41992	1.16556					
2.50	0.14485	1.08683		2.50	0.24296	1.07411		2.50	0.41890	1.09139		2.50	0.40925	1.11013		2.50	0.49782	1.15388					
2.60	0.14025	1.08344		2.60	0.22888	1.07072		2.60	0.39081	1.08684		2.60	0.39651	1.10260		2.60	0.46571	1.14325					
2.70	0.14416	1.08055		2.70	0.23461	1.06939		2.70	0.36050	1.08635		2.70	0.29486	1.09825		2.70	0.44571	1.13536					
2.80	0.12916	1.07831		2.80	0.22406	1.07081		2.80	0.32444	1.09132		2.80	0.28286	1.09853		2.80	0.43271	1.13229					
2.90	0.13112	1.07689		2.90	0.20978	1.07576		2.90	0.30635	1.10329		2.90	0.20087	1.10508		2.90	0.48771	1.13645					
3.00	0.13671	1.07650		3.00	0.21914	1.08510		3.00	0.28586	1.12400		3.00	0.23098	1.11980		3.00	0.47547	1.15060					

(C) Hazim Dwairi, Ahmad Tarawneh, and Eman Saleh (2022)
