Average Inelastic Displacement Ratios (IDRs) for Thin-Takeda Hysteretic Model
Ground Motion Records were Recorded on Firm Soils for Near-fault Records.
µ = 1.5				µ = 2.0				µ = 3.0				µ = 4.0				µ = 5.0							
Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR		Ti	STDEV	AVG IDR					
0.10	0.24848	1.37864		0.10	0.27312	1.55634		0.10	0.34579	1.72803		0.10	0.41288	2.00842		0.10	0.32568	2.64064					
0.20	0.18426	1.38414		0.20	0.25697	1.53986		0.20	0.21563	1.69832		0.20	0.50803	1.90541		0.20	0.31383	2.38965					
0.30	0.21514	1.37907		0.30	0.24323	1.51155		0.30	0.39339	1.65464		0.30	0.24342	1.80509		0.30	0.37753	2.16725					
0.40	0.19871	1.36553		0.40	0.26169	1.47438		0.40	0.47986	1.60081		0.40	0.45763	1.70841		0.40	0.20352	1.97196					
0.50	0.17708	1.34548		0.50	0.19887	1.43108		0.50	0.37162	1.54025		0.50	0.26443	1.61619		0.50	0.47465	1.80223					
0.60	0.22536	1.32066		0.60	0.21972	1.38409		0.60	0.33340	1.47600		0.60	0.36764	1.52917		0.60	0.27841	1.65645					
0.70	0.16690	1.29261		0.70	0.24563	1.33558		0.70	0.28728	1.41070		0.70	0.34438	1.44795		0.70	0.33455	1.53297					
0.80	0.18154	1.26273		0.80	0.24727	1.28747		0.80	0.27735	1.34661		0.80	0.27898	1.37308		0.80	0.29146	1.43008					
0.90	0.24696	1.23222		0.90	0.24110	1.24141		0.90	0.27463	1.28565		0.90	0.38284	1.30495		0.90	0.15110	1.34604					
1.00	0.21629	1.20210		1.00	0.25654	1.19880		1.00	0.42592	1.22940		1.00	0.63900	1.24390		1.00	0.46238	1.27910					
1.10	0.15941	1.17326		1.10	0.34752	1.16077		1.10	0.53527	1.17910		1.10	0.55264	1.19013		1.10	0.48702	1.22751					
1.20	0.16279	1.14641		1.20	0.42644	1.12822		1.20	0.42159	1.13567		1.20	0.55794	1.14375		1.20	0.65225	1.18950					
1.30	0.28226	1.12213		1.30	0.28607	1.10178		1.30	0.38401	1.09977		1.30	0.43792	1.10476		1.30	0.60588	1.16335					
1.40	0.22524	1.10082		1.40	0.29429	1.08187		1.40	0.30721	1.07172		1.40	0.32802	1.07308		1.40	0.39069	1.14731					
1.50	0.22105	1.08279		1.50	0.25372	1.06863		1.50	0.28986	1.05161		1.50	0.38550	1.04849		1.50	0.35526	1.13972					
1.60	0.23257	1.06819		1.60	0.26009	1.06200		1.60	0.29519	1.03925		1.60	0.33340	1.03071		1.60	0.30902	1.13894					
1.70	0.24679	1.05703		1.70	0.29648	1.06166		1.70	0.28270	1.03423		1.70	0.37053	1.01932		1.70	0.23476	1.14339					
1.80	0.30587	1.04924		1.80	0.32809	1.06708		1.80	0.25300	1.03587		1.80	0.44971	1.01381		1.80	0.30517	1.15155					
1.90	0.35254	1.04460		1.90	0.39127	1.07749		1.90	0.42309	1.04332		1.90	0.28588	1.01358		1.90	0.75902	1.16200					
2.00	0.52542	1.04280		2.00	0.37049	1.09190		2.00	0.49528	1.05550		2.00	0.26492	1.01790		2.00	0.67320	1.17340					
2.10	0.56606	1.04342		2.10	0.48555	1.10911		2.10	0.66603	1.07115		2.10	0.61690	1.02597		2.10	0.91137	1.18451					
2.20	0.65032	1.04596		2.20	0.81875	1.12770		2.20	0.72135	1.08884		2.20	0.36944	1.03685		2.20	1.52802	1.19419					
2.30	0.64971	1.04981		2.30	0.42348	1.14603		2.30	0.68886	1.10698		2.30	1.34217	1.04954		2.30	1.27274	1.20145					
2.40	0.52945	1.05428		2.40	0.83997	1.16226		2.40	0.64891	1.12383		2.40	1.20285	1.06289		2.40	0.71976	1.20542					
2.50	0.67236	1.05861		2.50	0.64715	1.17434		2.50	1.03252	1.13752		2.50	1.09513	1.07569		2.50	0.19878	1.20537					
2.60	0.66049	1.06196		2.60	0.78645	1.18003		2.60	0.94849	1.14606		2.60	0.64124	1.08660		2.60	0.17420	1.20072					
2.70	0.62047	1.06343		2.70	0.82768	1.17688		2.70	0.81232	1.14738		2.70	0.51099	1.09419		2.70	1.17478	1.19108					
2.80	0.19123	1.06207		2.80	1.00903	1.16224		2.80	0.51771	1.13928		2.80	0.68772	1.09691		2.80	1.18648	1.17622					
2.90	0.14783	1.05684		2.90	0.89897	1.13329		2.90	0.45825	1.11953		2.90	1.03774	1.09313		2.90	0.10937	1.15611					
3.00	0.59687	1.04670		3.00	0.60476	1.08700		3.00	0.60906	1.08580		3.00	1.02463	1.08110		3.00	0.15622	1.13090					
																							
(C) Hazim Dwairi, Ahmad Tarawneh, and Eman Saleh (2022)
